stid,lat_installation,lon_installation,alt_installation,source,t_u
Aurora,67.1358,-47.2922,1798.0,GC-Net historical,317.0
CEN1,77.1826,-61.1127,1886.0,PROMICE/GC-Net,1481.0
CEN2,77.1826,-61.1127,1886.0,PROMICE/GC-Net,491.0
CP1,69.8725,-47.0364,1938.9,PROMICE/GC-Net,836.0
CP2,69.9133,-46.8547,1990.0,GC-Net historical,1477.0
Crawford Point 1,69.8742,-47.0242,2022.0,GC-Net historical,7230.0
DY2,66.4823,-46.2933,2125.1,PROMICE/GC-Net,596.0
DYE-2,66.482,-46.2908,2165.0,GC-Net historical,9125.0
EGP,75.6,-35.9,2700.0,PROMICE/GC-Net,2829.0
EastGRIP,75.6268,-35.9801,2653.0,GC-Net historical,3062.0
GITS,77.1378,-61.0411,1887.0,GC-Net historical,4242.0
HUM,78.5288,-56.8442,1969.8,PROMICE/GC-Net,431.0
Humboldt,78.5283,-56.8423,1950.0,GC-Net historical,7007.0
JAR,69.4925,-49.7184,906.9,PROMICE/GC-Net,268.0
JAR1,69.4933,-49.7142,900.0,GC-Net historical,6474.0
JAR2,69.42,-50.0575,568.0,GC-Net historical,3556.0
JAR3,69.3944,-50.31,323.0,GC-Net historical,1459.0
JAR_O,69.4948,-49.67,925.7,PROMICE/GC-Net,548.0
KAN_L,67.0957,-49.9485,680.0,PROMICE/GC-Net,5631.0
KAN_M,67.0667,-48.8327,1270.0,PROMICE/GC-Net,5463.0
KAN_U,67.0003,-47.0243,1840.0,PROMICE/GC-Net,5271.0
KAR,69.6994,-33.0006,2579.0,GC-Net historical,753.0
KPC_L,79.9108,-24.0832,370.0,PROMICE/GC-Net,4760.0
KPC_Lv3,79.9108,-24.0832,370.0,PROMICE/GC-Net,226.0
KPC_U,79.8345,-25.1665,870.0,PROMICE/GC-Net,5672.0
KPC_Uv3,79.8345,-25.1665,870.0,PROMICE/GC-Net,238.0
KULU,65.7585,-39.6018,878.0,GC-Net historical,357.0
NAE,75.0024,-29.9806,2627.3,PROMICE/GC-Net,270.0
NASA-E,75.0023,-29.9838,2610.0,GC-Net historical,8266.0
NASA-SE,66.4779,-42.4951,2360.0,GC-Net historical,6691.0
NASA-U,73.8407,-49.5265,2369.0,GC-Net historical,7990.0
NAU,73.8406,-49.5315,2340.4,PROMICE/GC-Net,749.0
NEEM,77.4413,-51.0999,2460.0,GC-Net historical,5175.0
NEM,77.4414,-51.0837,2453.6,PROMICE/GC-Net,411.0
NGRIP,75.0998,-42.3326,2950.0,GC-Net historical,2464.0
NSE,66.4778,-42.4937,2386.5,PROMICE/GC-Net,609.0
NUK_L,64.4822,-49.5325,540.0,PROMICE/GC-Net,5408.0
NUK_N,64.9452,-49.885,920.0,PROMICE/GC-Net,1377.0
NUK_U,64.511,-49.2663,1130.0,PROMICE/GC-Net,4763.0
NUK_Uv3,64.511,-49.2663,1130.0,PROMICE/GC-Net,1236.0
Petermann ELA,80.0993,-58.1497,907.0,GC-Net historical,3264.0
Petermann Glacier,80.6836,-60.2931,37.0,GC-Net historical,1424.0
QAS_A,61.243,-46.7328,1000.0,PROMICE/GC-Net,547.0
QAS_L,61.0308,-46.8488,280.0,PROMICE/GC-Net,5871.0
QAS_Lv3,61.0308,-46.8488,280.0,PROMICE/GC-Net,522.0
QAS_M,61.0999,-46.8329,626.0,PROMICE/GC-Net,2515.0
QAS_U,61.1758,-46.819,900.0,PROMICE/GC-Net,4975.0
QAS_Uv3,61.1758,-46.819,900.0,PROMICE/GC-Net,950.0
SCO_L,72.224,-26.818,470.0,PROMICE/GC-Net,5608.0
SCO_U,72.3937,-27.2383,980.0,PROMICE/GC-Net,5221.0
SDL,66.0001,-44.5026,2458.4,PROMICE/GC-Net,343.0
SDM,63.149,-44.8174,2896.1,PROMICE/GC-Net,617.0
SMS-PET,80.6033,-60.0536,54.0,GC-Net historical,708.0
SMS1,69.4822,-49.8017,822.0,GC-Net historical,1224.0
SMS2,69.4778,-49.8828,727.0,GC-Net historical,1110.0
SMS3,69.4403,-49.9703,605.0,GC-Net historical,1748.0
SMS4,69.4013,-50.2108,387.0,GC-Net historical,706.0
SMS5,69.5056,-49.9093,,GC-Net historical,217.0
SWC,69.554205,-49.369349,1123.0,PROMICE/GC-Net,921.0
SWC_O,69.595409,-49.279097,1167.0,PROMICE/GC-Net,549.0
Saddle,65.9999,-44.5026,2451.0,GC-Net historical,8104.0
South Dome,63.1489,-44.8175,2878.0,GC-Net historical,7846.0
Summit,72.5797,-38.5045,3254.0,GC-Net historical,9100.0
Swiss Camp,69.5556,-49.3647,1138.0,GC-Net historical,7761.0
Swiss Camp 10m,69.5556,-49.3647,1138.0,GC-Net historical,9432.0
TAS_A,65.7797,-38.9008,890.0,PROMICE/GC-Net,3085.0
TAS_L,65.6403,-38.8987,260.0,PROMICE/GC-Net,4674.0
TAS_U,65.6978,-38.8668,570.0,PROMICE/GC-Net,2102.0
THU_L,76.3998,-68.2662,570.0,PROMICE/GC-Net,4588.0
THU_L2,76.3998,-68.2662,570.0,PROMICE/GC-Net,626.0
THU_U,76.4197,-68.146,770.0,PROMICE/GC-Net,3742.0
THU_U2,76.4197,-68.146,770.0,PROMICE/GC-Net,1901.0
TUN,78.0191,-33.963,2080.0,PROMICE/GC-Net,529.0
Tunu-N,78.0188,-33.9668,2113.0,GC-Net historical,8192.0
UPE_L,72.8932,-54.2953,220.0,PROMICE/GC-Net,5272.0
UPE_U,72.8883,-53.5715,940.0,PROMICE/GC-Net,5228.0
